,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
53,54,Starlink-1062,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BG,44767.0
54,55,Starlink-1063,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BH,44768.0
55,56,Starlink-1064,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BJ,44769.0
56,57,Starlink-1065,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,547.0,551.0,0.00028905911258852437,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BK,44770.0
57,58,Starlink-1066,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AS,44954.0
58,59,Starlink-1067,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BL,44771.0
59,60,Starlink-1068,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BM,44772.0
60,61,Starlink-1069,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AT,44955.0
61,62,Starlink-1070,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.6,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AU,44956.0
62,63,Starlink-1071,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001W,44934.0
63,64,Starlink-1072,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001X,44935.0
64,65,Starlink-1073,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001A,44914.0
65,66,Starlink-1074,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.6,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AV,44957.0
66,67,Starlink-1075,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AW,44958.0
67,68,Starlink-1076,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AX,44959.0
68,69,Starlink1077,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,320.0,321.0,7.47328301322771e-05,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AY,44960.0
